ID,NU_NOTA_LC
0,514.9875980406064
1,570.6823833186514
2,523.6510981635454
3,476.0047091870718
4,529.7226659469784
5,571.3014521127303
6,491.3645143162093
7,485.7099496036743
8,501.5256818517771
9,607.7166905270452
10,596.2115836558046
11,594.5879952510961
12,471.5460555884206
13,617.9693500706212
14,430.28886202400656
15,444.3437817742558
16,634.8572840514939
17,603.2710110055273
18,517.7581186959611
19,528.5422287758133
20,480.3208903645273
21,588.5925018892802
22,564.5871063288773
23,477.2061758143574
24,459.5182204646693
25,565.2741625302766
26,444.0352336031327
27,533.2353448758014
28,424.6237703678074
29,478.6377440465218
30,526.8391340986717
31,623.1130259195096
32,587.0393740546359
33,553.91836801215
34,551.2169894660567
35,463.35985031611597
36,494.20865683516064
37,520.5008827158074
38,524.6920689047777
39,508.5210874383612
40,489.48848349757156
41,519.8695930270927
42,539.2019991508976
43,442.4117637569161
44,665.0365470808508
45,417.9114022361102
46,495.5846508530749
47,465.1129315328555
48,449.6069895041708
49,538.5463917437521
50,474.0786277496937
51,471.18217633563427
52,479.1754464999152
53,527.5636360621816
54,556.4941105488098
55,554.6785099519105
56,468.78174771686383
57,529.3364938582939
58,545.4150026878167
59,605.4261704561459
60,475.15834984996764
61,472.44883293177645
62,458.083405925742
63,530.856850156836
64,537.5435811463133
65,417.4280854227868
66,522.9329834117606
67,445.60175593752774
68,452.2858188293603
69,529.5823136420588
70,549.09181926084
71,591.6073513046955
72,515.7745910751306
73,514.9163045892029
74,575.4567935643711
75,497.0476887742976
76,510.9663691521448
77,468.7654059459229
78,567.1831646526953
79,584.7239348817441
80,512.9918198546709
81,570.5576171744283
82,478.8833238142672
83,468.148528180031
84,490.43189380834366
85,541.051324805981
86,499.2913065389978
87,530.278453940514
88,459.5099717210502
89,487.12885428200343
90,502.976039926023
91,508.10795185715216
92,543.751025290138
93,457.393227807102
94,586.0115217019408
95,590.2084113680111
96,520.9131534392253
97,457.4979436062661
98,513.3655828213322
99,536.1041615747565
100,613.8254073971395
101,513.5466296589414
102,545.996364200159
103,591.4192713567394
104,533.613816820719
105,648.2299402915644
106,641.2319973848771
107,617.3657235620476
108,484.28258662367267
109,650.189901413191
110,539.9087868560437
111,491.1268534579334
112,518.8634118162503
113,596.7054736796356
114,484.6374393513497
115,498.48609330696695
116,513.8636086909045
117,541.7817413896347
118,615.8708290253858
119,554.9690321685632
120,529.9071835124988
121,480.40939551521143
122,507.8247559815971
123,634.518163478852
124,508.63652129582044
125,565.2943369129817
126,498.74304810706315
127,498.774104426804
128,531.1853034682282
129,536.5325370752155
130,521.6691123557106
131,460.74060448562386
132,565.3529347982097
133,472.7464889286882
134,515.2277492179685
135,570.4998061709148
136,577.9996085053424
137,518.7663371925717
138,463.2344273969258
139,477.9182718421865
140,505.5846489561002
141,484.25098761285085
142,506.3387203181576
143,525.9635743220275
144,530.9983822568096
145,597.4588110553
146,690.5404476971856
147,569.5976793210831
148,498.4182316912867
149,571.9547492174767
150,607.796787761051
151,487.6231010180745
152,591.2494045790564
